customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
KY38074,CA,Male,Bachelor,13891.735700000001,42305.0,117.0,0,Personal Auto,Four-Door Car,561.6
DM79012,OR,Male,Master,7380.9767,65706.0,91.0,0,Personal Auto,Four-Door Car,436.8
CM61827,OR,Female,Bachelor,3090.0341,0.0,90.0,0,Personal Auto,Two-Door Car,648.0
WC35801,AZ,Female,High School or Below,2521.6331,53243.0,66.0,2,Personal Auto,Four-Door Car,157.397849
QG25316,NV,Male,High School or Below,2652.0618,41390.31196581197,70.0,1,Corporate Auto,Two-Door Car,484.318536
MB98372,OR,Female,College,2771.045,50071.0,71.0,0,Corporate Auto,Two-Door Car,18.918935
IL19217,CA,Female,Bachelor,3939.0064,60021.0,99.0,0,Personal Auto,Four-Door Car,882.871945
SR38658,AZ,Male,High School or Below,12231.8797,43244.0,103.0,0,Personal Auto,Sports Car,494.4
YD87931,WA,Male,Doctor,4951.6561,46896.0,35354.0,1,Personal Auto,Four-Door Car,31.707317
HG65722,OR,Male,Doctor,12819.1029,10105.0,172.0,3,Personal Auto,SUV,0.517753
BU27331,AZ,Female,Bachelor,4468.5105,0.0,73.0,3,Personal Auto,Four-Door Car,579.165954
XM45289,OR,Female,High School or Below,5514.344,23218.0,71.0,0,Personal Auto,Two-Door Car,447.79344
KP34198,CA,Male,Bachelor,3343.8753,41390.31196581197,92.0,0,Corporate Auto,Four-Door Car,529.624084
SH90947,AZ,Female,High School or Below,2294.4789,0.0,62.0,0,Personal Auto,Four-Door Car,313.023175
WE95729,OR,Male,College,36707.426400000004,24804.0,104.0,0,Personal Auto,SUV,593.830288
PY51963,CA,Female,Bachelor,33473.349500000004,33190.0,106.0,0,Corporate Auto,SUV,508.8
RB69909,NV,Male,High School or Below,7983.4317,36014.0,69.0,3,Special Auto,Four-Door Car,173.956072
NW21079,WA,Female,Master,4879.3848,67163.0,61.0,2,Personal Auto,Two-Door Car,33.192803
FR46645,CA,Male,Bachelor,4293.9973,16701.0,113.0,0,Personal Auto,Four-Door Car,831.625979
SY17488,AZ,Female,College,7164.3955000000005,46623.0,91.0,0,Corporate Auto,Four-Door Car,436.8
AP67935,CA,Female,College,7619.515799999999,64749.0,64.0,0,Special Auto,Four-Door Car,302.56519
FS37417,AZ,Female,High School or Below,3958.0028,0.0,101.0,0,Personal Auto,SUV,484.8
ML29312,OR,Female,High School or Below,4499.4933,16969.0,124.0,2,Personal Auto,SUV,704.768111
UB61619,OR,Female,Master,4059.5674,11621.0,108.0,0,Personal Auto,Four-Door Car,518.4
CD86811,AZ,Female,Bachelor,4458.1134,17622.0,65.0,1,Personal Auto,Four-Door Car,312.0
RU83859,CA,Male,Bachelor,8110.333100000001,11489.0,105.0,0,Personal Auto,Two-Door Car,504.0
FG63582,OR,Male,Bachelor,3339.7649,0.0,94.0,0,Personal Auto,Two-Door Car,863.327324
NN71951,CA,Male,High School or Below,24261.017799999998,66525.0,100.0,0,Personal Auto,SUV,104.331355
WB37082,AZ,Male,Bachelor,6613.9737,0.0,63.0,0,Personal Auto,Four-Door Car,676.391482
SM52139,WA,Female,College,2930.6935,33663.0,73.0,0,Personal Auto,Four-Door Car,350.4
FL82372,OR,Male,College,8672.194300000001,22547.0,112.0,0,Corporate Auto,SUV,537.6
DP45816,AZ,Male,High School or Below,11638.6693,61486.0,97.0,0,Personal Auto,Two-Door Car,465.258644
GW33762,OR,Male,Bachelor,6846.1503,0.0,95.0,0,Personal Auto,Two-Door Car,456.0
RZ33670,CA,Female,College,11727.7765,29879.0,102.0,0,Personal Auto,Four-Door Car,500.254235
PY70169,OR,Male,High School or Below,22643.8348,93011.0,113.0,0,Personal Auto,SUV,281.451042
MO91628,OR,Female,Master,2614.4743,65186.0,65.0,0,Personal Auto,Two-Door Car,5.434505
HW87852,OR,Male,Master,2451.7527,26840.0,64.0,2,Personal Auto,Four-Door Car,307.2
HB20453,OR,Female,Bachelor,6781.2702,0.0,104.0,1,Personal Auto,Sports Car,982.399613
BN87372,OR,Male,Bachelor,4974.8015000000005,75644.0,65.0,3,Personal Auto,Two-Door Car,467.803638
YX23800,OR,Male,Bachelor,8591.6049,38984.0,73.0,0,Personal Auto,Four-Door Car,350.4
DZ87709,OR,Male,High School or Below,5592.1614,71811.0,71.0,0,Personal Auto,Four-Door Car,29.03416
XW13033,NV,Female,College,8009.4728000000005,20961.0,67.0,0,Personal Auto,Four-Door Car,321.6
OM82309,CA,Female,Bachelor,58166.553499999995,61321.0,186.0,1,Personal Auto,Luxury Car,427.63121
ZU35962,CA,Female,College,8025.229399999999,0.0,77.0,0,Personal Auto,Two-Door Car,25.807685
VH85817,CA,Male,High School or Below,5780.182199999999,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
DT85712,CA,Male,Doctor,4118.5391,34378.0,102.0,0,Personal Auto,SUV,489.6
YJ88573,NV,Female,Master,2523.0702,43072.0,63.0,0,Personal Auto,Four-Door Car,302.4
SQ19467,OR,Male,College,6554.2164,25222.0,90.0,0,Personal Auto,Four-Door Car,475.623251
YB66933,WA,Female,Bachelor,5382.7519999999995,77552.0,68.0,1,Corporate Auto,Four-Door Car,45.215059
ET79815,CA,Male,College,5926.729399999999,23091.0,96.0,5,Personal Auto,Four-Door Car,460.8
QC35222,CA,Female,Bachelor,2683.4707,48269.0,69.0,3,Corporate Auto,Four-Door Car,282.151207
CJ15590,OR,Female,Bachelor,2695.1823999999997,32720.0,67.0,0,Personal Auto,Four-Door Car,321.6
OI48267,CA,Male,College,6047.0252,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
JY67916,OR,Female,College,13171.0128,21513.0,119.0,1,Personal Auto,Two-Door Car,679.827592
OW15518,WA,Female,College,15950.0195,0.0,87.0,1,Personal Auto,Two-Door Car,46.041452
CZ33664,OR,Female,Bachelor,2527.6538,80744.0,63.0,0,Corporate Auto,Four-Door Car,11.879037
WK30175,OR,Male,Bachelor,2672.0958,52822.0,67.0,0,Corporate Auto,Two-Door Car,350.529033
ON44465,CA,Female,High School or Below,5313.294,0.0,77.0,1,Personal Auto,Four-Door Car,863.3947
TV87155,OR,Female,Bachelor,20946.1925,69738.0,74.0,1,Personal Auto,Four-Door Car,492.127532
KH48895,AZ,Female,Master,8375.3539,17780.0,109.0,0,Personal Auto,SUV,132.588288
NZ30757,CA,Male,Bachelor,4801.6615,18107.0,62.0,0,Personal Auto,Four-Door Car,297.6
RI22468,AZ,Female,Bachelor,5745.9433,57740.0,74.0,3,Personal Auto,Four-Door Car,269.905129
FZ30935,OR,Female,College,6066.116,32627.0,76.0,0,Personal Auto,Two-Door Car,380.036697
UG93476,CA,Female,College,8002.3083,0.0,107.0,0,Personal Auto,SUV,513.6
AB96670,CA,Female,College,2393.9154,0.0,70.0,0,Personal Auto,Four-Door Car,425.266308
XK64261,OR,Male,Bachelor,4762.8179,65795.0,62.0,1,Corporate Auto,Two-Door Car,49.011099
EV68375,CA,Female,College,4330.3859999999995,60475.0,107.0,0,Personal Auto,Four-Door Car,513.6
UN51653,CA,Female,High School or Below,9402.7298,0.0,130.0,0,Personal Auto,SUV,936.0
TO96662,OR,Female,Bachelor,6966.6945,41837.0,88.0,0,Personal Auto,Four-Door Car,142.062768
MR52087,CA,Male,Bachelor,7694.064300000001,32303.0,65.0,0,Personal Auto,Four-Door Car,45.152521
DE75225,OR,Male,High School or Below,8717.561099999999,0.0,117.0,1,Personal Auto,SUV,561.6
EP80820,CA,Male,Bachelor,5928.7485,40531.0,74.0,0,Personal Auto,Two-Door Car,30.567357
GU99037,OR,Female,College,2452.9773,79898.0,62.0,1,Corporate Auto,Four-Door Car,271.606799
WI57118,CA,Female,College,6701.5717,56398.0,85.0,0,Personal Auto,Four-Door Car,408.0
GP39118,WA,Male,High School or Below,4996.5527,71600.0,63.0,0,Personal Auto,Two-Door Car,46.158117
MQ14219,AZ,Female,College,8492.6988,27804.0,109.0,0,Personal Auto,SUV,784.8
KN20603,OR,Female,Bachelor,7713.494000000001,45506.0,66.0,2,Personal Auto,Four-Door Car,316.8
SG20925,WA,Female,Master,5185.7976,99428.0,6464.0,1,Personal Auto,Four-Door Car,48.046869
JI70886,CA,Male,High School or Below,7290.0698,41390.31196581197,102.0,1,Corporate Auto,SUV,489.6
VF72557,OR,Female,High School or Below,4772.9438,20993.0,133.0,0,Personal Auto,SUV,638.4
OX28638,AZ,Female,High School or Below,6806.4914,37839.0,86.0,0,Personal Auto,Two-Door Car,465.633954
SK55033,CA,Male,Bachelor,2469.7813,92711.0,62.0,0,Personal Auto,Two-Door Car,368.400146
OO88645,CA,Male,College,3103.923,74665.0,78.0,2,Corporate Auto,Four-Door Car,236.902001
FM14335,WA,Female,College,10484.9154,61108.0,89.0,0,Personal Auto,Four-Door Car,49.451117
CW82151,CA,Male,Bachelor,8902.7376,46833.0,112.0,0,Personal Auto,Sports Car,64.109663
DY22043,OR,Female,High School or Below,5499.4472,88768.0,68.0,0,Personal Auto,Two-Door Car,326.4
SH36774,CA,Female,High School or Below,15023.598600000001,28262.0,192.0,0,Personal Auto,Luxury SUV,921.6
EM43724,NV,Male,Bachelor,2509.1079,33555.0,63.0,0,Personal Auto,Four-Door Car,101.89645
FH85960,OR,Female,College,31221.7481,42780.0,113.0,1,Personal Auto,Four-Door Car,542.4
XA55993,OR,Male,Master,3133.5034,58850.0,78.0,0,Personal Auto,Four-Door Car,143.747794
GO36627,AZ,Male,College,3837.4519,21880.0,97.0,0,Special Auto,Four-Door Car,424.077159
QH48047,OR,Female,College,11790.496200000001,25251.0,66.0,0,Personal Auto,Four-Door Car,316.8
HS28694,WA,Female,High School or Below,2829.8639000000003,25317.0,71.0,0,Personal Auto,Two-Door Car,50.422181
UH65059,AZ,Female,High School or Below,4305.808300000001,24188.0,109.0,0,Personal Auto,Sports Car,523.2
FV21968,NV,Male,Bachelor,5973.9769,41611.0,74.0,0,Special Auto,Four-Door Car,113.801497
QA87025,OR,Male,Bachelor,5670.4424,28406.0,72.0,1,Personal Auto,Four-Door Car,192.87572
TQ13499,AZ,Male,College,4731.7492999999995,69833.0,118.0,0,Personal Auto,Four-Door Car,828.662719
BU44523,AZ,Male,High School or Below,8026.379599999999,41390.31196581197,74.0,0,Corporate Auto,Four-Door Car,532.8
MS41162,AZ,Male,High School or Below,4022.9635,0.0,117.0,0,Personal Auto,SUV,975.107098
PU25891,OR,Male,High School or Below,9618.3109,80536.0,119.0,0,Special Auto,Sports Car,53.798708
LH92841,WA,Female,Bachelor,7255.9538,88891.0,89.0,0,Personal Auto,Four-Door Car,50.528355
SX26335,OR,Male,College,9552.926899999999,97732.0,79.0,0,Personal Auto,Four-Door Car,289.9122
AZ95587,AZ,Female,Bachelor,10388.5532,61222.0,89.0,0,Special Auto,Four-Door Car,392.604371
DS81757,OR,Male,College,2470.1212,0.0,74.0,0,Personal Auto,Two-Door Car,721.242206
OJ94107,AZ,Male,Master,5619.068499999999,50335.0,140.0,0,Personal Auto,SUV,456.52385
LP84436,CA,Female,High School or Below,9047.119200000001,0.0,127.0,0,Personal Auto,Sports Car,1087.995426
FF22360,WA,Female,Doctor,2687.3140999999996,82210.0,68.0,4,Personal Auto,Four-Door Car,51.961915
LM19287,OR,Female,High School or Below,3731.5046,0.0,96.0,0,Personal Auto,Four-Door Car,460.8
ZU18643,NV,Male,Bachelor,3660.7703,64495.0,92.0,0,Corporate Auto,Four-Door Car,251.992083
AZ82578,CA,Female,College,7928.8293,41390.31196581197,72.0,0,Corporate Auto,Four-Door Car,345.6
XC67861,AZ,Female,Bachelor,5011.7516,28859.0,67.0,3,Corporate Auto,Two-Door Car,321.6
YC43143,AZ,Female,High School or Below,7988.2582999999995,77330.0,99.0,0,Personal Auto,Four-Door Car,99.257608
EK59571,OR,Male,College,3885.4564,41390.31196581197,105.0,0,Corporate Auto,Four-Door Car,504.0
PA38372,WA,Female,High School or Below,9357.7378,33060.0,117.0,0,Personal Auto,Four-Door Car,56.731578
RO18530,WA,Male,Master,2540.6898,42557.0,65.0,0,Personal Auto,Four-Door Car,57.562324
PD27940,AZ,Male,High School or Below,4885.1625,26372.0,126.0,0,Personal Auto,SUV,604.8
BS77946,AZ,Female,Bachelor,9753.3071,17514.0,127.0,0,Personal Auto,SUV,8.312729
YM50253,CA,Female,Bachelor,2946.1537,89270.0,74.0,0,Personal Auto,Four-Door Car,316.599228
NR15332,CA,Male,High School or Below,2581.1109,29757.0,65.0,0,Personal Auto,Four-Door Car,312.0
RC62865,OR,Male,College,3517.3858,51814.0,92.0,0,Personal Auto,Four-Door Car,56.300724
CC15295,OR,Female,Bachelor,9743.3501,24028.0,82.0,0,Personal Auto,Four-Door Car,393.6
KA61892,AZ,Male,College,3873.647,28142.0,105.0,0,Personal Auto,Sports Car,701.708239
OS94884,AZ,Female,Bachelor,7649.281999999999,52705.0,64.0,1,Personal Auto,Two-Door Car,128.705563
ND87334,CA,Male,High School or Below,2287.5969,41390.31196581197,63.0,0,Corporate Auto,Two-Door Car,679.368378
OY51402,WA,Female,High School or Below,8255.7639,54040.0,103.0,0,Personal Auto,SUV,59.987126
YL74911,CA,Female,College,8714.9221,0.0,118.0,0,Personal Auto,SUV,566.4
GK92563,WA,Female,Doctor,6819.2312,22492.0,85.0,0,Personal Auto,Two-Door Car,61.654262
HL53154,CA,Male,Bachelor,7416.1973,0.0,77.0,2,Personal Auto,Four-Door Car,554.4
RI78966,OR,Male,Master,7771.159000000001,21876.0,68.0,0,Personal Auto,Four-Door Car,465.41477
IC13702,CA,Female,Bachelor,6968.341899999999,0.0,69.0,1,Personal Auto,Four-Door Car,496.8
BE10809,CA,Female,High School or Below,4250.2826000000005,0.0,61.0,1,Personal Auto,Four-Door Car,292.8
HT87217,OR,Female,High School or Below,19776.5665,70699.0,82.0,0,Personal Auto,Four-Door Car,256.813837
TH95618,CA,Female,High School or Below,21343.466,0.0,74.0,1,Personal Auto,Four-Door Car,355.2
TS19868,CA,Male,College,2413.1397,27501.0,63.0,0,Personal Auto,Four-Door Car,542.319401
LP45550,OR,Female,Doctor,15363.8472,15897.0,101.0,0,Personal Auto,Four-Door Car,303.148399
QR87004,NV,Female,College,8456.9619,25141.0,73.0,1,Personal Auto,Four-Door Car,25.438063
OE75747,NV,Female,College,2189.6425,0.0,61.0,3,Personal Auto,Four-Door Car,292.8
DX91392,CA,Male,High School or Below,5780.182199999999,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
AB72731,CA,Female,Bachelor,4639.9816,28358.0,117.0,0,Personal Auto,Sports Car,84.024413
GX84338,WA,Female,Doctor,3824.4313,62530.0,95.0,0,Personal Auto,Four-Door Car,61.693771
IS12901,AZ,Female,Bachelor,5968.1189,90972.0,74.0,0,Personal Auto,Two-Door Car,232.926145
BN90616,WA,Female,Bachelor,8590.335,63110.0,72.0,0,Personal Auto,Four-Door Car,68.179721
HH90090,CA,Female,Bachelor,4076.6346999999996,29549.0,104.0,0,Personal Auto,Sports Car,710.433775
IU25463,CA,Female,Bachelor,12252.601799999999,0.0,115.0,1,Personal Auto,Four-Door Car,552.0
KC11055,NV,Female,Bachelor,16936.2715,39411.0,217.0,2,Personal Auto,Luxury Car,1122.658899
PD33979,OR,Male,High School or Below,4892.4355,21709.0,62.0,0,Personal Auto,Four-Door Car,408.374746
NK71023,NV,Male,Bachelor,9942.3048,67890.0,85.0,0,Personal Auto,Four-Door Car,408.0
AB13432,CA,Male,Bachelor,3735.8381,0.0,110.0,0,Personal Auto,SUV,792.0
OZ97704,CA,Female,High School or Below,13117.5222,84311.0,111.0,4,Personal Auto,SUV,532.8
UF46533,CA,Female,College,4574.5241,99316.0,114.0,0,Corporate Auto,SUV,754.358929
XP47431,AZ,Female,Bachelor,5470.060600000001,54507.0,138.0,0,Personal Auto,SUV,702.990032
GK73582,CA,Female,Bachelor,2978.8459999999995,64586.0,76.0,0,Personal Auto,Four-Door Car,206.837111
RV98763,OR,Male,College,6410.9675,61709.0,82.0,2,Personal Auto,Four-Door Car,275.395894
II62831,CA,Male,Master,4479.0231,94656.0,111.0,1,Special Auto,SUV,459.738128
XK33449,CA,Female,High School or Below,2383.7319,0.0,69.0,0,Special Auto,Two-Door Car,496.8
TR85083,CA,Male,Bachelor,2764.4937,61085.0,70.0,1,Personal Auto,Two-Door Car,336.0
EO95328,OR,Female,Bachelor,7920.1054,89284.0,67.0,3,Personal Auto,Two-Door Car,321.6
EN21086,AZ,Female,High School or Below,6889.098000000001,0.0,63.0,0,Personal Auto,Four-Door Car,302.4
YL83902,WA,Female,Bachelor,3274.1946000000003,31686.0,81.0,0,Personal Auto,Four-Door Car,430.994107
AZ62651,OR,Male,High School or Below,9951.7077,56855.0,255.0,0,Corporate Auto,Luxury SUV,1836.0
ZW25874,OR,Male,Bachelor,2521.5557,53703.0,67.0,2,Special Auto,Four-Door Car,67.632476
EH41854,WA,Female,High School or Below,23706.1134,0.0,96.0,1,Personal Auto,Two-Door Car,844.481918
MW70227,CA,Male,College,6047.0252,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
SL22297,CA,Female,Master,11140.3025,27679.0,150.0,0,Personal Auto,SUV,722.486994
RV14138,NV,Female,Bachelor,4334.0641,23904.0,123.0,3,Personal Auto,SUV,590.4
UO62808,AZ,Female,High School or Below,2799.7479,65351.0,69.0,0,Corporate Auto,Four-Door Car,481.027516
ZX64745,CA,Male,College,7923.136600000001,0.0,113.0,0,Personal Auto,SUV,1124.427734
FL34139,CA,Male,High School or Below,3688.1109,0.0,63.0,3,Personal Auto,Four-Door Car,669.682001
TS11219,CA,Male,College,12067.456,0.0,116.0,0,Personal Auto,SUV,1284.093173
XX12304,CA,Female,College,2924.9766999999997,64459.0,72.0,0,Personal Auto,Four-Door Car,240.259479
SD64087,CA,Male,College,15014.092700000001,32961.0,190.0,0,Corporate Auto,SUV,912.0
OY38576,OR,Female,High School or Below,9277.2338,71416.0,116.0,0,Corporate Auto,SUV,556.8
BG76355,WA,Female,Bachelor,6274.1239000000005,68964.0,78.0,0,Personal Auto,Four-Door Car,115.086827
IP66913,CA,Male,High School or Below,3886.6474,78108.0,98.0,0,Personal Auto,Two-Door Car,470.4
LE95702,CA,Male,College,4386.2776,10621.0,67.0,0,Special Auto,Four-Door Car,321.6
KX54357,WA,Male,College,11365.2677,84910.0,95.0,0,Corporate Auto,Two-Door Car,383.167471
EZ78112,CA,Female,High School or Below,5610.964300000001,77493.0,70.0,0,Special Auto,Four-Door Car,307.963291
XN16891,AZ,Male,College,2912.8920000000003,81097.0,74.0,0,Personal Auto,Four-Door Car,355.2
XK31350,OR,Female,College,6915.7299,96610.0,85.0,0,Corporate Auto,Four-Door Car,520.364752
CC30924,OR,Male,College,6262.663299999999,30110.0,159.0,0,Corporate Auto,Sports Car,466.436375
IT78748,OR,Female,High School or Below,6503.397,22081.0,84.0,0,Special Auto,Two-Door Car,451.670309
KY33386,WA,Female,High School or Below,8007.399399999999,0.0,112.0,0,Personal Auto,Sports Car,537.6
CO44221,CA,Male,College,2929.9165000000003,98473.0,72.0,0,Personal Auto,Four-Door Car,345.6
LK60013,OR,Female,Bachelor,5969.553000000001,97431.0,74.0,0,Personal Auto,Four-Door Car,355.2
DE21533,CA,Male,Bachelor,5473.1599,93870.0,69.0,0,Personal Auto,Four-Door Car,331.2
YS94121,NV,Male,High School or Below,5645.3967,50366.0,72.0,0,Personal Auto,Four-Door Car,428.734656
UK68427,WA,Male,High School or Below,6369.2624,34498.0,83.0,0,Personal Auto,Two-Door Car,398.4
TE49565,OR,Female,College,11833.7673,16552.0,103.0,0,Personal Auto,SUV,494.4
RA88421,OR,Female,College,6121.1079,26787.0,77.0,0,Personal Auto,Four-Door Car,369.6
KQ51983,NV,Male,College,5159.369699999999,0.0,74.0,0,Personal Auto,Two-Door Car,831.752839
CD88896,NV,Female,High School or Below,2514.592,43860.0,65.0,0,Corporate Auto,Four-Door Car,156.124914
YV22553,AZ,Male,High School or Below,8668.6113,21474.0,114.0,2,Corporate Auto,SUV,373.428187
WU14435,CA,Male,Bachelor,4960.9654,18174.0,66.0,0,Corporate Auto,Four-Door Car,395.934815
XV84099,AZ,Female,Bachelor,5504.139,41390.31196581197,73.0,0,Corporate Auto,Four-Door Car,350.4
RI24911,AZ,Male,College,7507.455400000001,60920.0,64.0,0,Personal Auto,Two-Door Car,231.201886
KO26461,AZ,Male,High School or Below,32269.8514,41520.0,90.0,0,Personal Auto,Four-Door Car,289.904105
HI14283,OR,Female,Bachelor,5657.0316,0.0,152.0,0,Personal Auto,SUV,729.6
PT50227,AZ,Male,High School or Below,5061.7579,0.0,68.0,0,Personal Auto,Two-Door Car,326.4
BH36570,CA,Male,Bachelor,5912.7838,72208.0,73.0,0,Personal Auto,Two-Door Car,350.4
TX17484,CA,Female,Bachelor,15182.2798,53863.0,63.0,0,Personal Auto,Four-Door Car,105.765111
CT41158,WA,Male,College,10747.030900000002,66446.0,136.0,0,Corporate Auto,SUV,639.464548
AO87348,WA,Male,College,2050.6235,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
DE55857,WA,Female,Bachelor,2465.4449,64997.0,63.0,1,Personal Auto,Four-Door Car,383.442328
LF66923,NV,Female,High School or Below,5343.1213,64460.0,66.0,0,Corporate Auto,Two-Door Car,316.8
CN24514,AZ,Female,College,8119.8291,46618.0,67.0,0,Personal Auto,Four-Door Car,99.085943
UW32074,OR,Female,College,4605.2652,41390.31196581197,64.0,0,Corporate Auto,Four-Door Car,307.2
HP36979,CA,Male,College,6408.7856,49988.0,84.0,5,Personal Auto,Two-Door Car,566.935022
PP40919,CA,Female,College,2376.5335,0.0,91.0,5,Personal Auto,Two-Door Car,436.8
RO73268,CA,Male,Bachelor,3211.07,16269.0,86.0,0,Corporate Auto,Two-Door Car,412.8
HO61691,AZ,Female,Bachelor,5094.5223,72006.0,64.0,0,Personal Auto,Four-Door Car,307.2
BS13062,AZ,Female,High School or Below,25755.278199999997,0.0,81.0,2,Personal Auto,Four-Door Car,388.8
FO35655,OR,Male,Bachelor,8672.2297,41390.31196581197,245.0,0,Corporate Auto,Luxury SUV,2345.413441
HR10526,CA,Male,Master,8044.730699999999,44320.0,67.0,0,Personal Auto,Four-Door Car,321.6
IA63417,AZ,Female,High School or Below,4001.5190999999995,19782.0,108.0,0,Personal Auto,Two-Door Car,773.470977
BH35016,NV,Female,Bachelor,16706.117,63933.0,70.0,0,Personal Auto,Two-Door Car,424.883448
PK52952,AZ,Male,Doctor,8544.4111,28224.0,109.0,0,Personal Auto,SUV,523.2
OD76309,WA,Female,College,7805.312900000001,21073.0,106.0,1,Personal Auto,SUV,508.8
IL28481,OR,Male,Bachelor,6112.756899999999,63243.0,77.0,0,Personal Auto,Four-Door Car,364.240307
GY55092,NV,Male,High School or Below,4772.9438,20993.0,133.0,0,Personal Auto,SUV,638.4
UF33451,OR,Female,Bachelor,10979.0956,94827.0,135.0,0,Personal Auto,SUV,354.729129
CF15558,CA,Female,Master,5004.2638,39161.0,63.0,1,Personal Auto,Two-Door Car,283.995953
JM62924,WA,Male,Bachelor,13223.0438,37534.0,84.0,2,Personal Auto,Four-Door Car,403.2
EM66435,OR,Female,Bachelor,2623.3154,80210.0,65.0,0,Corporate Auto,Four-Door Car,20.543176
QX45933,CA,Male,Bachelor,17840.1956,0.0,62.0,0,Personal Auto,Four-Door Car,385.115437
JI71369,CA,Female,College,5106.1118,30110.0,64.0,0,Personal Auto,Four-Door Car,140.165035
JU93290,AZ,Female,College,17930.6045,21708.0,68.0,0,Personal Auto,Four-Door Car,326.4
GU66096,AZ,Male,High School or Below,5457.3426,94731.0,67.0,0,Personal Auto,Four-Door Car,321.6
UC33108,CA,Male,Bachelor,6563.6441,32375.0,83.0,0,Personal Auto,Four-Door Car,398.4
LW93867,OR,Male,College,4812.5252,16531.0,63.0,0,Corporate Auto,Four-Door Car,102.879769
